aphiaidaccepted;scientificnameaccepted;phy_or_not;phylum;scientificnameauthorship
112292;Glomospira;FORAMS;Foraminifera;Rzehak, 1885
888243;Grigelis guttiferus;FORAMS;Foraminifera;(d'Orbigny, 1846)
112086;Gyroidina;FORAMS;Foraminifera;d'Orbigny, 1826
951876;Gyroidina orbicularis;FORAMS;Foraminifera;d'Orbigny in Parker, Jones & Brady, 1865
112901;Gyroidina soldanii;FORAMS;Foraminifera;d'Orbigny, 1826
112902;Gyroidina umbonata;FORAMS;Foraminifera;(Silvestri, 1898)
113185;Hanzawaia boueana;FORAMS;Foraminifera;(d'Orbigny, 1846)
112330;Haplophragmoides;FORAMS;Foraminifera;Cushman, 1910
113294;Haynesina germanica;FORAMS;Foraminifera;(Ehrenberg, 1840)
113341;Hoeglundina elegans;FORAMS;Foraminifera;(d'Orbigny, 1826)
417566;Hormosina pilulifera;FORAMS;Foraminifera;(Brady, 1884)
112337;Hormosinella;FORAMS;Foraminifera;Shchedrina, 1969
113636;Hyalinea balthica;FORAMS;Foraminifera;(Schröter in Gmelin, 1791)
113941;Karreriella bradyi;FORAMS;Foraminifera;(Cushman, 1911)
112215;Lagena;FORAMS;Foraminifera;Walker & Jacob, 1798
112364;Lagenammina;FORAMS;Foraminifera;Rhumbler, 1911
113788;Lenticulina gibba;FORAMS;Foraminifera;(d'Orbigny, 1839)
113118;Lobatula lobatula;FORAMS;Foraminifera;(Walker & Jacob, 1798)
113885;Marsipella elongata;FORAMS;Foraminifera;Norman, 1878
113563;Melonis barleeanus;FORAMS;Foraminifera;(Williamson, 1858)
113564;Melonis pompilioides;FORAMS;Foraminifera;(Fichtel & Moll, 1798)
113567;Melonis zaandami;FORAMS;Foraminifera;(van Voorthuysen, 1952)
114064;Miliammina fusca;FORAMS;Foraminifera;(Brady, 1870)
113458;Neogloboquadrina pachyderma;FORAMS;Foraminifera;(Ehrenberg, 1861)
930107;Neogloboquadrina pachyderma subsp. dextralis;FORAMS;Foraminifera;Setty, 1977
112286;Neolenticulina;FORAMS;Foraminifera;McCulloch, 1977
466174;Neolenticulina variabilis;FORAMS;Foraminifera;(Reuss, 1850)
466362;Neouvigerina proboscidea;FORAMS;Foraminifera;(Schwager, 1866)
113988;Nodulina dentaliniformis;FORAMS;Foraminifera;(Brady, 1881)
466471;Nonionoides turgidus;FORAMS;Foraminifera;(Williamson, 1858)
112089;Nuttallides;FORAMS;Foraminifera;Finlay, 1939
735493;Nuttallides truempyi;FORAMS;Foraminifera;(Nuttall, 1930)
112156;Oolina;FORAMS;Foraminifera;d'Orbigny, 1839
113460;Orbulina universa;FORAMS;Foraminifera;d'Orbigny, 1839
254690;Oridorsalis umbonatus;FORAMS;Foraminifera;(Reuss, 1851)
112311;Pelosina;FORAMS;Foraminifera;Brady, 1879
113888;Pelosina arborescens;FORAMS;Foraminifera;Pearcey, 1914
112244;Planorbulina;FORAMS;Foraminifera;d'Orbigny, 1826
112091;Planulina;FORAMS;Foraminifera;d'Orbigny, 1826
112254;Polymorphina;FORAMS;Foraminifera;d'Orbigny, 1826
113896;Psammatodendron arborescens;FORAMS;Foraminifera;Norman in Brady, 1881
113110;Pullenia bulloides;FORAMS;Foraminifera;(d'Orbigny, 1846)
113112;Pullenia quinqueloba;FORAMS;Foraminifera;(Reuss, 1851)
112037;Pyrgo;FORAMS;Foraminifera;Defrance, 1824
112593;Pyrgo murrhina;FORAMS;Foraminifera;(Schwager, 1866)
112594;Pyrgo oblonga;FORAMS;Foraminifera;(d'Orbigny, 1839)
112040;Quinqueloculina;FORAMS;Foraminifera;d'Orbigny, 1826
