aphiaidaccepted;scientificnameaccepted;phy_or_not;phylum;scientificnameauthorship
113453;Globorotalia truncatulinoides;FORAM;Foraminifera;(d'Orbigny, 1839)
112292;Glomospira;FORAM;Foraminifera;Rzehak, 1885
888243;Grigelis guttiferus;FORAM;Foraminifera;(d'Orbigny, 1846)
112086;Gyroidina;FORAM;Foraminifera;d'Orbigny, 1826
951876;Gyroidina orbicularis;FORAM;Foraminifera;d'Orbigny in Parker, Jones & Brady, 1865
112901;Gyroidina soldanii;FORAM;Foraminifera;d'Orbigny, 1826
112902;Gyroidina umbonata;FORAM;Foraminifera;(Silvestri, 1898)
113185;Hanzawaia boueana;FORAM;Foraminifera;(d'Orbigny, 1846)
112330;Haplophragmoides;FORAM;Foraminifera;Cushman, 1910
113294;Haynesina germanica;FORAM;Foraminifera;(Ehrenberg, 1840)
113341;Hoeglundina elegans;FORAM;Foraminifera;(d'Orbigny, 1826)
417566;Hormosina pilulifera;FORAM;Foraminifera;(Brady, 1884)
112337;Hormosinella;FORAM;Foraminifera;Shchedrina, 1969
113636;Hyalinea balthica;FORAM;Foraminifera;(Schröter in Gmelin, 1791)
113941;Karreriella bradyi;FORAM;Foraminifera;(Cushman, 1911)
112215;Lagena;FORAM;Foraminifera;Walker & Jacob, 1798
112364;Lagenammina;FORAM;Foraminifera;Rhumbler, 1911
113788;Lenticulina gibba;FORAM;Foraminifera;(d'Orbigny, 1839)
113118;Lobatula lobatula;FORAM;Foraminifera;(Walker & Jacob, 1798)
113885;Marsipella elongata;FORAM;Foraminifera;Norman, 1878
113563;Melonis barleeanus;FORAM;Foraminifera;(Williamson, 1858)
113564;Melonis pompilioides;FORAM;Foraminifera;(Fichtel & Moll, 1798)
113567;Melonis zaandami;FORAM;Foraminifera;(van Voorthuysen, 1952)
114064;Miliammina fusca;FORAM;Foraminifera;(Brady, 1870)
113458;Neogloboquadrina pachyderma;FORAM;Foraminifera;(Ehrenberg, 1861)
930107;Neogloboquadrina pachyderma subsp. dextralis;FORAM;Foraminifera;Setty, 1977
112286;Neolenticulina;FORAM;Foraminifera;McCulloch, 1977
466174;Neolenticulina variabilis;FORAM;Foraminifera;(Reuss, 1850)
466362;Neouvigerina proboscidea;FORAM;Foraminifera;(Schwager, 1866)
113988;Nodulina dentaliniformis;FORAM;Foraminifera;(Brady, 1881)
466471;Nonionoides turgidus;FORAM;Foraminifera;(Williamson, 1858)
112089;Nuttallides;FORAM;Foraminifera;Finlay, 1939
735493;Nuttallides truempyi;FORAM;Foraminifera;(Nuttall, 1930)
112156;Oolina;FORAM;Foraminifera;d'Orbigny, 1839
113460;Orbulina universa;FORAM;Foraminifera;d'Orbigny, 1839
254690;Oridorsalis umbonatus;FORAM;Foraminifera;(Reuss, 1851)
112311;Pelosina;FORAM;Foraminifera;Brady, 1879
113888;Pelosina arborescens;FORAM;Foraminifera;Pearcey, 1914
112244;Planorbulina;FORAM;Foraminifera;d'Orbigny, 1826
112091;Planulina;FORAM;Foraminifera;d'Orbigny, 1826
112254;Polymorphina;FORAM;Foraminifera;d'Orbigny, 1826
113896;Psammatodendron arborescens;FORAM;Foraminifera;Norman in Brady, 1881
113110;Pullenia bulloides;FORAM;Foraminifera;(d'Orbigny, 1846)
113112;Pullenia quinqueloba;FORAM;Foraminifera;(Reuss, 1851)
112037;Pyrgo;FORAM;Foraminifera;Defrance, 1824
112593;Pyrgo murrhina;FORAM;Foraminifera;(Schwager, 1866)
112594;Pyrgo oblonga;FORAM;Foraminifera;(d'Orbigny, 1839)
112040;Quinqueloculina;FORAM;Foraminifera;d'Orbigny, 1826
114324;Recurvoidella bradyi;FORAM;Foraminifera;(Robertson, 1891)
112341;Reophax;FORAM;Foraminifera;Montfort, 1808
114016;Reophax scorpiurus;FORAM;Foraminifera;Montfort, 1808
112315;Rhabdammina;FORAM;Foraminifera;Sars in Carpenter, 1869
113898;Rhabdammina abyssorum;FORAM;Foraminifera;Sars in Carpenter, 1869
113906;Rhizammina algaeformis;FORAM;Foraminifera;Brady, 1879
112259;Robertina;FORAM;Foraminifera;d'Orbigny, 1846
907207;Rotamorphina involuta;FORAM;Foraminifera;Parker, 1958
112373;Saccammina;FORAM;Foraminifera;Sars in Carpenter, 1869
113974;Saccorhiza ramosa;FORAM;Foraminifera;(Brady, 1879)
114021;Scherochorella moniliformis;FORAM;Foraminifera;(Siddall, 1886)
112704;Sigmoilopsis schlumbergeri;FORAM;Foraminifera;(Silvestri, 1904)
112392;Siphotextularia;FORAM;Foraminifera;Finlay, 1939
992022;Sphaeroidina bulloides;FORAM;Foraminifera;d'Orbigny in Deshayes, 1828
112046;Spiroloculina;FORAM;Foraminifera;d'Orbigny, 1826
113070;Stainforthia fusiformis;FORAM;Foraminifera;(Williamson, 1858)
113908;Testulosiphon indivisus;FORAM;Foraminifera;(Brady, 1884)
112394;Textularia;FORAM;Foraminifera;Defrance, 1824
114264;Textularia agglutinans;FORAM;Foraminifera;d'Orbigny, 1839
114285;Textularia sagittula;FORAM;Foraminifera;Defrance, 1824
113757;Trifarina bradyi;FORAM;Foraminifera;Cushman, 1923
112047;Triloculina;FORAM;Foraminifera;d'Orbigny, 1826
146261;Tritaxis britannica;FORAM;Foraminifera;Brönnimann & Whittaker, 1990
112412;Trochammina;FORAM;Foraminifera;Parker & Jones, 1859
416108;Trochamminoides;FORAM;Foraminifera;Cushman, 1910
113462;Turborotalita quinqueloba;FORAM;Foraminifera;(Natland, 1938)
113772;Uvigerina mediterranea;FORAM;Foraminifera;Hofker, 1932
113773;Uvigerina peregrina;FORAM;Foraminifera;Cushman, 1923
112100;Valvulineria;FORAM;Foraminifera;Cushman, 1926
115083;Acanthoica;phy;Haptophyta;Lohmann, 1903
145306;Arthrocladia villosa;FALSE;Ochrophyta;(Hudson) Duby, 1830
145541;Ascophyllum nodosum;FALSE;Ochrophyta;(Linnaeus) Le Jolis, 1863
145503;Bifurcaria bifurcata;FALSE;Ochrophyta;R.Ross, 1958
144293;Blidingia;FALSE;Chlorophyta;Kylin, 1947
145949;Blidingia marginata;FALSE;Chlorophyta;(J.Agardh) P.J.L.Dangeard ex Bliding, 1963
145950;Blidingia minima;FALSE;Chlorophyta;(Nägeli ex Kützing) Kylin, 1947
144457;Bryopsis plumosa;FALSE;Chlorophyta;(Hudson) C.Agardh, 1823
105559;Calliacantha longicaudata;FALSE;Choanozoa;(Leadbeater) Leadbeater, 1978
143995;Chaetomorpha;FALSE;Chlorophyta;Kützing, 1845
145027;Chaetomorpha linum;FALSE;Chlorophyta;(O.F.Müller) Kützing, 1845
145029;Chaetomorpha melagonium;FALSE;Chlorophyta;(F.Weber & D.Mohr) Kützing, 1845
144197;Chorda;FALSE;Ochrophyta;Stackhouse, 1797
145722;Chorda filum;FALSE;Ochrophyta;(Linnaeus) Stackhouse, 1797
143954;Chordaria;FALSE;Ochrophyta;C.Agardh, 1817
143996;Cladophora;FALSE;Chlorophyta;Kützing, 1843
145064;Cladophora rupestris;FALSE;Chlorophyta;(Linnaeus) Kützing, 1843
145065;Cladophora sericea;FALSE;Chlorophyta;(Hudson) Kützing, 1843
144271;Cladostephus;FALSE;Ochrophyta;C.Agardh, 1817
145888;Cladostephus spongiosus;FALSE;Ochrophyta;(Hudson) C.Agardh, 1817
162546;Codiolum;FALSE;Chlorophyta;A.Braun, 1855
143999;Codium;FALSE;Chlorophyta;Stackhouse, 1797
145092;Codium tomentosum;FALSE;Chlorophyta;Stackhouse, 1797
145856;Colpomenia peregrina;FALSE;Ochrophyta;Sauvageau, 1927
163921;Ctenophora;FALSE;Ochrophyta;(Grunow) D.M.Williams & Round, 1986
144054;Cutleria;FALSE;Ochrophyta;Greville, 1830
145536;Cystoseira tamariscifolia;FALSE;Ochrophyta;(Hudson) Papenfuss, 1950
145307;Desmarestia aculeata;FALSE;Ochrophyta;(Linnaeus) J.V.Lamouroux, 1813
145309;Desmarestia ligulata;FALSE;Ochrophyta;(Stackhouse) J.V.Lamouroux, 1813
145310;Desmarestia viridis;FALSE;Ochrophyta;(O.F.Müller) J.V.Lamouroux, 1813
145360;Dictyopteris polypodioides;FALSE;Ochrophyta;(A.P.De Candolle) J.V.Lamouroux, 1809
144067;Dictyosiphon;FALSE;Ochrophyta;Greville, 1830
145367;Dictyota dichotoma;FALSE;Ochrophyta;(Hudson) J.V.Lamouroux, 1809
144099;Ectocarpus;FALSE;Ochrophyta;Lyngbye, 1819
143968;Elachista;FALSE;Ochrophyta;Duby, 1830
144937;Elachista fucicola;FALSE;Ochrophyta;(Velley) Areschoug, 1842
146008;Epicladia perforans;FALSE;Chlorophyta;(Huber) R.Nielsen, 1980
145922;Eugomontia sacculata;FALSE;Chlorophyta;Kornmann, 1960
172431;Favella;FALSE;Ciliophora;Jörgensen, 1924
235761;Favella ehrenbergii;FALSE;Ciliophora;(Claparède & Lachmann, 1858) Jörgensen, 1924
292923;Favella helgolandica;FALSE;Ciliophora;(Brandt, 1906) Jörgensen, 1924
144129;Fucus;FALSE;Ochrophyta;Linnaeus, 1753
145542;Fucus ceranoides;FALSE;Ochrophyta;Linnaeus, 1753
145546;Fucus serratus;FALSE;Ochrophyta;Linnaeus, 1753
145547;Fucus spiralis;FALSE;Ochrophyta;Linnaeus, 1753
145548;Fucus vesiculosus;FALSE;Ochrophyta;Linnaeus, 1753
145540;Halidrys siliquosa;FALSE;Ochrophyta;(Linnaeus) Lyngbye, 1819
145551;Himanthalia elongata;FALSE;Ochrophyta;(Linnaeus) S.F.Gray, 1821
111878;Lagotia viridis;FALSE;Ciliophora;Wright, 1858
144199;Laminaria;FALSE;Ochrophyta;J.V. Lamouroux, 1813
145724;Laminaria digitata;FALSE;Ochrophyta;(Hudson) J.V.Lamouroux, 1813
145725;Laminaria hyperborea;FALSE;Ochrophyta;(Gunnerus) Foslie, 1884
145728;Laminaria ochroleuca;FALSE;Ochrophyta;Bachelot de la Pylaie, 1824
1311360;Lychaete pellucida;FALSE;Chlorophyta;(Hudson) M.J.Wynne, 2017
149055;Paralia sulcata;FALSE;Ochrophyta;(Ehrenberg) Cleve, 1873
144257;Petalonia;FALSE;Ochrophyta;Derbès & Solier, 1850
143985;Ralfsia;FALSE;Ochrophyta;Berkeley, 1843
145001;Ralfsia verrucosa;FALSE;Ochrophyta;(Areschoug) Areschoug, 1845
145075;Rhizoclonium riparium;FALSE;Chlorophyta;(Roth) Harvey, 1849
145076;Rhizoclonium tortuosum;FALSE;Chlorophyta;(Dillwyn) Kützing, 1845
234483;Saccharina latissima;FALSE;Ochrophyta;(Linnaeus) C.E.Lane, C.Mayes, Druehl & G.W.Saunders, 2006
145735;Saccorhiza polyschides;FALSE;Ochrophyta;(Lightfoot) Batters, 1902
494791;Sargassum muticum;FALSE;Ochrophyta;(Yendo) Fensholt, 1955
145869;Scytosiphon lomentaria;FALSE;Ochrophyta;(Lyngbye) Link, 1833
118073;Solenicola setigera;FALSE;NA;Pavillard, 1916
147470;Spongomorpha arcta;FALSE;Chlorophyta;(Dillwyn) Kützing, 1849
144296;Ulva;FALSE;Chlorophyta;Linnaeus, 1753
234462;Ulva compressa;FALSE;Chlorophyta;Linnaeus, 1753
234471;Ulva intestinalis;FALSE;Chlorophyta;Linnaeus, 1753
145984;Ulva lactuca;FALSE;Chlorophyta;Linnaeus, 1753
234474;Ulva linza;FALSE;Chlorophyta;Linnaeus, 1753
234476;Ulva prolifera;FALSE;Chlorophyta;O.F.Müller, 1778
101180;Lohmanniella;FALSE;Ciliophora;Leegaard, 1915
101209;Lohmanniella oviformis;FALSE;Ciliophora;Leegaard, 1915
145385;Padina pavonica;FALSE;Ochrophyta;(Linnaeus) Thivy, 1960
145550;Pelvetia canaliculata;FALSE;Ochrophyta;(Linnaeus) Decaisne & Thuret, 1845
163030;Phaeoceros;FALSE;Ochrophyta;NA
235802;Acanthoica quattrospina;phy;Haptophyta;Lohmann, 1903
183555;Acanthostomella;phy;Ciliophora;Jörgensen, 1927
183556;Acanthostomella norvegica;phy;Ciliophora;(Daday, 1887)
149191;Achnanthes;phy;Ochrophyta;Bory, 1822
149387;Achnanthes brevipes;phy;Ochrophyta;C.Agardh, 1824
156533;Achnanthes longipes;phy;Ochrophyta;C.Agardh, 1824
160542;Actinastrum;phy;Chlorophyta;Lagerheim, 1882
109717;Actiniscus pentasterias;phy;Myzozoa;(Ehrenberg) Ehrenberg, 1844
148944;Actinocyclus;phy;Ochrophyta;C.G. Ehrenberg, 1837
179603;Actinocyclus cholnokyi;phy;Ochrophyta;VanLandingham, 1967
148945;Actinocyclus normanii;phy;Ochrophyta;(Gregory) Hustedt, 1957
162770;Actinocyclus octonarius var. octonarius;phy;Ochrophyta;Ehrenberg, 1837
162810;Actinocyclus senarius;phy;Ochrophyta;Ehrenberg, 1838
148947;Actinoptychus;phy;Ochrophyta;C.G. Ehrenberg, 1843
149163;Actinoptychus octonarius;phy;Ochrophyta;(Ehrenberg) Kützing, 1844
148948;Actinoptychus senarius;phy;Ochrophyta;(Ehrenberg) Ehrenberg, 1843
148949;Actinoptychus splendens;phy;Ochrophyta;(Shadbolt) Ralfs ex Pritchard, 1861
109525;Adenoides;phy;Myzozoa;Balech, 1956
992758;Aduncodinium glandula;phy;Myzozoa;(E.C.Herdman) N.S.Kang, H.J.Jeong & Ø.Moestrup, 2014
232546;Akashiwo sanguinea;phy;Myzozoa;(K.Hirasaka) Gert Hansen & Moestrup, 2000
109470;Alexandrium;phy;Myzozoa;Halim, 1960
109707;Alexandrium affine;phy;Myzozoa;(H.Inoue & Y.Fukuyo) Balech, 1995
246835;Alexandrium andersonii;phy;Myzozoa;Balech, 1990
109710;Alexandrium leei;phy;Myzozoa;Balech, 1985
233447;Alexandrium margalefii;phy;Myzozoa;Balech, 1994
109711;Alexandrium minutum;phy;Myzozoa;Halim, 1960
109712;Alexandrium ostenfeldii;phy;Myzozoa;(Paulsen) Balech & Tangen, 1985
109713;Alexandrium pseudogonyaulax;phy;Myzozoa;(Biecheler) Horiguchi ex K.Yuki & Y.Fukuyo, 1992
109714;Alexandrium tamarense;phy;Myzozoa;(Lebour) Balech, 1995
388924;Alexandrium tamutum;phy;Myzozoa;M.Montresor, A.Beran & U.John, 2004
235913;Algirosphaera robusta;phy;Haptophyta;(Lohmann) R.E.Norris, 1984
109556;Amphidiniopsis;phy;Myzozoa;Woloszynska, 1928
109473;Amphidinium;phy;Myzozoa;Claperède & Lachmann, 1859
109718;Amphidinium acutissimum;phy;Myzozoa;Schiller, 1933
109723;Amphidinium carterae;phy;Myzozoa;Hulburt, 1957
109726;Amphidinium crassum;phy;Myzozoa;Lohmann, 1908
232577;Amphidinium extensum;phy;Myzozoa;Wulff, 1919
109728;Amphidinium flagellans;phy;Myzozoa;Schiller
109731;Amphidinium herdmanii;phy;Myzozoa;Kofoid & Swezy, 1921
109741;Amphidinium longum;phy;Myzozoa;Lohmann, 1908
109754;Amphidinium sphenoides;phy;Myzozoa;WüIff, 1916
109517;Amphidoma;phy;Myzozoa;Stein, 1883
233194;Amphidoma acuminata;phy;Myzozoa;Stein, 1883
149140;Amphiprora;phy;Ochrophyta;C.G. Ehrenberg, 1843
179174;Amphiprora hyperborea;phy;Ochrophyta;Grunow, 1880
983277;Amphiprora lepidoptera f. lepidoptera;phy;Ochrophyta;Gregory, 1857
109459;Amphisolenia;phy;Myzozoa;Stein, 1883
578002;Amphitetras;phy;Ochrophyta;C.G. Ehrenberg, 1840
149200;Amphora;phy;Ochrophyta;C.G. Ehrenberg ex F.T. Kützing, 1844
149530;Amphora laevis;phy;Ochrophyta;Gregory, 1857
969098;Amphora laevissima var. perminuta;phy;Ochrophyta;Grunow in Van Heurck
109518;Amylax;phy;Myzozoa;Meunier, 1910
110007;Amylax triacantha;phy;Myzozoa;(Jörgensen) Sournia, 1984
146585;Anabaena;phy;Cyanobacteria;Bory de Saint-Vincent ex Bornet & Flahault, 1886
163489;Ankistrodesmus;phy;Chlorophyta;Corda, 1838
248096;Apedinella;phy;Ochrophyta;Throndsen, 1971
248097;Apedinella radians;phy;Ochrophyta;(Lohmann) P.H.Campbell, 1973
160567;Aphanizomenon;phy;Cyanobacteria;A.Morren ex Bornet & Flahault, 1888
146562;Aphanocapsa;phy;Cyanobacteria;C.Nägeli, 1849
146715;Aphanothece;phy;Cyanobacteria;C.Nägeli, 1849
624607;Archaeperidinium minutum;phy;Myzozoa;(Kofoid) Jørgensen, 1912
292897;Askenasia;phy;Ciliophora;Blochmann, 1895
292898;Askenasia stellaris;phy;Ciliophora;Leegaard, 1920
148953;Asterionella;phy;Ochrophyta;A.H. Hassall, 1850
163737;Asterionella bleakeleyi var. notata;phy;Ochrophyta;Grunow, 1867
148954;Asterionella formosa;phy;Ochrophyta;Hassall, 1850
176362;Asterionella frauenfeldii;phy;Ochrophyta;Grunow, 1863
148955;Asterionella glacialis;phy;Ochrophyta;Castracane, 1886
149220;Asterionella japonica;phy;Ochrophyta;Cleve, 1882
148956;Asterionella kariana;phy;Ochrophyta;Grunow, 1880
149138;Asterionellopsis;phy;Ochrophyta;F.E. Round in F.E. Round, R.M. Crawford & D.G. Mann, 1990
162254;Asteromphalus;phy;Ochrophyta;C.G. Ehrenberg, 1844
160519;Attheya;phy;Ochrophyta;T. West, 1860
464444;Attheya longicornis;phy;Ochrophyta;R.M.Crawford & C.Gardner, 1994
162823;Attheya septentrionalis;phy;Ochrophyta;(Østrup) R.M.Crawford, 1994
149279;Aulacodiscus;phy;Ochrophyta;C.G. Ehrenberg, 1844
148959;Aulacoseira;phy;Ochrophyta;G.H.K. Thwaites, 1848
391508;Azadinium;phy;Myzozoa;Elbrächter & Tillmann, 2009
837075;Azadinium caudatum;phy;Myzozoa;(Halldal) Nézan & Chomérat, 2012
391509;Azadinium spinosum;phy;Myzozoa;Elbrächter & Tillmann, 2009
149148;Bacillaria;phy;Ochrophyta;J.F. Gmelin, 1788
149118;Bacteriastrum;phy;Ochrophyta;G. Shadbolt, 1854
164108;Bacteriastrum delicatulum;phy;Ochrophyta;Cleve, 1897
164110;Bacteriastrum furcatum;phy;Ochrophyta;Shadbolt, 1854
149119;Bacteriastrum hyalinum;phy;Ochrophyta;Lauder, 1864
1307640;Bacterosira constricta;phy;Ochrophyta;(Gaarder, 1938) J.S. Park & J.H. Lee, 2016
1371463;Barrufeta resplendens;phy;Myzozoa;(Hulburt) H.Gu, Z.Luo & K.N.Mertens, 2015
624205;Battersia plumigera;phy;Ochrophyta;(Holmes ex Hauck) Draisma, Prud'homme & H. Kawai, 2010
149305;Bellerochea;phy;Ochrophyta;H. Van Heurck, 1885
447730;Bellerochea horologicalis;phy;Ochrophyta;Stosch, 1980
149306;Bellerochea malleus;phy;Ochrophyta;(Brightwell) Van Heurck, 1885
464448;Bellerochea polymorpha;phy;Ochrophyta;Hargraves & Guillard, 1974
148967;Biddulphia;phy;Ochrophyta;S.F. Gray, 1821
149324;Biddulphia rhombus;phy;Ochrophyta;(Ehrenberg) W.Smith, 1854
149325;Biddulphia rhombus subsp. trigona;phy;Ochrophyta;Cleve ex Van Heurck, 1882
671778;Biddulphia rhombus var. trigona;phy;Ochrophyta;Cleve ex Van Heurck, 1882
148969;Biddulphia sinensis;phy;Ochrophyta;Greville, 1866
162953;Biddulphia subaequa;phy;Ochrophyta;(Kützing) J.Ralfs, 1861
465381;Biddulphia weissflogii;phy;Ochrophyta;Grunow, 1882
575737;Binuclearia lauterbornii;phy;Chlorophyta;(Schmidle) Proschkina-Lavrenko, 1966
418405;Biremis ambigua;phy;Ochrophyta;(Cleve) D.G.Mann, 1990
109548;Blepharocysta;phy;Myzozoa;Ehrenberg, 1873
110178;Blepharocysta paulsenii;phy;Myzozoa;J.Schiller, 1937
110067;Boreadinium pisiforme;phy;Myzozoa;J.D.Dodge & Hermes, 1981
248103;Botryococcus;phy;Chlorophyta;Kützing, 1849
235849;Braarudosphaera;phy;Haptophyta;Deflandre, 1947
235922;Braarudosphaera bigelowii;phy;Haptophyta;(Gran & Braarud) Deflandre, 1947
345436;Brachiomonas;phy;Chlorophyta;Bohlin, 1897
149136;Brockmanniella;phy;Ochrophyta;G.R. Hasle, H.A. von Stosch & E.E. Syvertsen, 1983
149137;Brockmanniella brockmannii;phy;Ochrophyta;(Hustedt) Hasle, Stosch & Syvertsen, 1983
109532;Cachonina;phy;Myzozoa;Loeblich III, 1968
235923;Calcidiscus leptoporus;phy;Haptophyta;(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978
555889;Calciosolenia brasiliensis;phy;Haptophyta;(Lohmann) J.R.Young, 2003
160548;Calycomonas;phy;Ochrophyta;Lohmann, 1908
235828;Calyptrosphaera;phy;Haptophyta;Lohmann, 1902
149616;Campylodiscus;phy;Ochrophyta;C.G. Ehrenberg ex F.T. Kützing, 1844
156599;Campylodiscus fastuosus;phy;Ochrophyta;Ehrenberg, 1845
178050;Campylodiscus innominatus;phy;Ochrophyta;R.Ross & Abdin, 1949
178059;Campyloneis;phy;Ochrophyta;A. Grunow, 1862
149357;Campylosira cymbelliformis;phy;Ochrophyta;(A.Schmidt) Grunow ex Van Heurck, 1885
367250;Carteria;phy;Chlorophyta;Diesing, 1866
149236;Cerataulina;phy;Ochrophyta;H. Peragallo ex F. Schütt in Engler & Prantl, 1896
961694;Cerataulina bergonii;phy;Ochrophyta;Ostenfeld, 1903
149619;Cerataulina pelagica;phy;Ochrophyta;(Cleve) Hendey, 1937
1322477;Cerataulus granulata;phy;Ochrophyta;(Roper) P.A. Sims & D.M. Williams, 2018
178126;Cerataulus radiatus;phy;Ochrophyta;R.Ross, 1986
628227;Cerataulus turgidus;phy;Ochrophyta;Ehrenberg
109506;Ceratium;phy;Myzozoa;F.Schrank, 1793
156509;Ceratium arcticum;phy;Myzozoa;(Ehrenberg) Cleve, 1901
109932;Ceratium breve;phy;Myzozoa;(Ostenfeld & Schmidt) Schröder, 1906
109947;Ceratium extensum;phy;Myzozoa;(Gourret) Cleve-Euler, 1900
109953;Ceratium gibberum;phy;Myzozoa;Gourret, 1883
109955;Ceratium hexacanthum;phy;Myzozoa;Gourret, 1883
156511;Ceratium hirundinella;phy;Myzozoa;(O.F.Müller) Dujardin, 1841
