aphiaID;genus
136779;Paulinella
109447;Paulsenella
160561;Pediastrum
370001;Pelagococcus
1304629;Pennales
109433;Peridiniaceae
109394;Peridiniales
109549;Peridinium
172321;Peritromus
8038;Petalomonas
577724;Phacotus
163339;Phacus
163030;Phaeoceros
115072;Phaeocystaceae
115088;Phaeocystis
830;Phaeophyceae
172144;Phagomyxa
109466;Phalacroma
146690;Phormidium
149208;Pinnularia
149314;Plagiogramma
149056;Plagiogrammopsis
106283;Plagioselmis
149516;Plagiotropis
162715;Planctonema
146582;Pleurocapsa
235825;Pleurochrysis
149181;Pleurosigma
149032;Pleurosigmataceae
22733;Ploeotia
109550;Podolampas
149059;Podosira
172816;Polyasterias
109485;Polykrikos
115082;Pontosphaera
148980;Porosira
17329;Prasinophyceae
144234;Prasiola
109505;Preperidinium
149167;Proboscia
109487;Pronoctiluca
109566;Prorocentrum
742629;Protaspa
105536;Proterospongia
231794;Proterythropsis
109435;Protoperidiniaceae
115073;Prymnesiaceae
115057;Prymnesiophyceae
160563;Prymnesium
163337;Psammodiscus
177588;Pseudanabaena
143937;Pseudendoclonium
531445;Pseudochattonella
162741;Pseudokephyrion
149151;Pseudo-nitzschia
160599;Pseudopedinella
172469;Pteromonas
160595;Pterosperma
172813;Pterospermataceae
196838;Ptychocylis
109444;Pyrocystaceae
109571;Pyrocystis
109555;Pyrophacus
582421;Radiozoa
143985;Ralfsia
160581;Raphidophyceae
292925;Rhabdoaskenasia
603344;Rhabdolithes
157072;Rhabdonema
149064;Rhaphoneidaceae
149065;Rhaphoneis
149069;Rhizosolenia
106289;Rhodomonas
149391;Rhoicosphenia
146161;Rhynchomonas
146178;Rhynchopus
146623;Rivularia
177595;Romeria
112079;Rotalia
109531;Sabulodinium
183566;Salpingella
425635;Salpingelloides
105541;Salpingoeca
160541;Scenedesmaceae
160602;Scenedesmus
149161;Schroederella
149486;Scoliopleura
134535;Scourfieldia
109545;Scrippsiella
414712;Scuticociliatia
178818;Scytomonas
144259;Scytosiphon
414711;Sessilida
149073;Skeletonema
149072;Skeletonemaceae
144272;Sphacelaria
1028;Sphacelariales
146541;Spirulina
428524;Spumella
149077;Stauroneis
178825;Stenosemella
148994;Stephanodiscaceae
149079;Stephanodiscus
149630;Stephanopyxis
162717;Stigeoclonium
146649;Stigonematales
101185;Strobilidium
101198;Strombidinopsis
101195;Strombidium
162681;Suctoria
149084;Surirella
178510;Symploca
160572;Synechococcus
177482;Synechocystis
149186;Synedra
178594;Synura
149333;Tabellaria
157059;Tabularia
106285;Teleaulax
118028;Telonema
178949;Tetraëdron
134526;Tetraselmis
162934;Tetrastrum
602925;Tetratoma
149092;Thalassionema
149091;Thalassionemataceae
148904;Thalassiosiraceae
157081;Thalassiothrix
137288;Thaumatomastix
603291;Thaumatomonas
602809;Thaurilens
341358;Thecacineta
109557;Thecadinium
109558;Thoracosphaera
247913;Tiarina
183533;Tintinnidae
247915;Tintinnidium
732976;Tintinnina
163780;Tintinnopsis
101196;Tontonia
109479;Torodinium
163247;Trachelomonas
601010;Trachydiscus
576713;Treubaria
149048;Triceratiales
149154;Triceratium
177604;Trichodesmium
494057;Tripos
146596;Trochiscia
149518;Tropidoneis
562571;Trypanosoma
144287;Ulothrix
824;Ulotrichales
144296;Ulva
8027;Urceolus
143943;Uronema
345440;Vaginicola
144303;Vaucheria
163725;Vibrio
18526;Volvocales
163573;Vorticella
109491;Warnowia
109415;Warnowiaceae
109492;Woloszynskia
146617;Woronichinia
162403;Zoothamnium
